file_name,signal,signallength,pe,comp,fisher_shannon,fisher_info,renyipe,renyicomp,tsallispe,tsalliscomp,dimension,tau,state,binaryclass,nan_percentage
data/train/Eda/12.csv,12_Baseline_1,5950,0.783838,0.214400,0.783838,0.211064,0.783838,0.214400,0.783838,0.214400,3,1,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.992427,0.007183,0.992427,0.005316,0.992427,0.007183,0.992427,0.007183,3,2,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.786589,0.212270,0.786589,0.206575,0.786589,0.212270,0.786589,0.212270,3,3,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.666174,0.332017,0.666174,0.325386,0.666174,0.332017,0.666174,0.332017,4,1,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.979897,0.023295,0.979897,0.013602,0.979897,0.023295,0.979897,0.023295,4,2,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.660781,0.330361,0.660781,0.312364,0.660781,0.330361,0.660781,0.330361,4,3,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.669331,0.407250,0.669331,0.341430,0.669331,0.407250,0.669331,0.407250,5,1,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.963033,0.051236,0.963033,0.027500,0.963033,0.051236,0.963033,0.051236,5,2,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.648472,0.398694,0.648472,0.391510,0.648472,0.398694,0.648472,0.398694,5,3,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.649486,0.484977,0.649486,0.218745,0.649486,0.484977,0.649486,0.484977,6,1,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.940085,0.101501,0.940085,0.062618,0.940085,0.101501,0.940085,0.101501,6,2,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.616944,0.463207,0.616944,0.318842,0.616944,0.463207,0.616944,0.463207,6,3,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.652845,0.544844,0.652845,0.183214,0.652845,0.544844,0.652845,0.544844,7,1,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.879680,0.292993,0.879680,0.362965,0.879680,0.292993,0.879680,0.292993,7,2,baseline,0,0.00
data/train/Eda/12.csv,12_Baseline_1,5950,0.605293,0.507965,0.605293,0.305472,0.605293,0.507965,0.605293,0.507965,7,3,baseline,0,0.00
data/train/Eda/12.csv,12_LOW_2,1022,0.773697,0.225518,0.773697,0.250012,0.773697,0.225518,0.773697,0.225518,3,1,low,1,82.82
data/train/Eda/12.csv,12_LOW_2,1022,0.999695,0.000300,0.999695,0.000241,0.999695,0.000300,0.999695,0.000300,3,2,low,1,82.82
data/train/Eda/12.csv,12_LOW_2,1022,0.773351,0.225629,0.773351,0.250198,0.773351,0.225629,0.773351,0.225629,3,3,low,1,82.82
data/train/Eda/12.csv,12_LOW_2,1022,0.653998,0.343783,0.653998,0.375540,0.653998,0.343783,0.653998,0.343783,4,1,low,1,82.82
data/train/Eda/12.csv,12_LOW_2,1022,0.996859,0.004094,0.996859,0.006092,0.996859,0.004094,0.996859,0.004094,4,2,low,1,82.82
data/train/Eda/12.csv,12_LOW_2,1022,0.653649,0.343745,0.653649,0.380816,0.653649,0.343745,0.653649,0.343745,4,3,low,1,82.82
