signal,d,tau,silhouette,dunn,n_samples
eda,3,1,-0.04222419783629394,1.4166778408634894e-05,1325
eda,3,2,-0.24936937155094832,3.0802063772437815e-06,1325
eda,3,3,-0.13518517082022907,6.628768436233894e-05,1325
eda,4,1,-0.031924673990290045,0.000174677679283798,1325
eda,4,2,-0.19654389546006307,1.0522185192506977e-05,1325
eda,4,3,-0.1363664509848189,0.00012797629681681464,1325
eda,5,1,5.475563498628364e-05,0.00031237787171733863,1325
eda,5,2,-0.11760481027950807,0.00040438096868571766,1325
eda,5,3,-0.1650187500086736,0.00011694662891060914,1325
eda,6,1,-0.005342312043226449,0.00011898612516348863,1325
eda,6,2,0.4657206393200783,0.0424649559429499,1325
eda,6,3,-0.19586569111063207,2.80219857706211e-05,1325
eda,7,1,0.058100601975812585,0.00042732642203892216,1325
eda,7,2,0.841426512702713,0.23657229154784307,1325
eda,7,3,-0.14596453331185036,0.0001278408059389979,1325
bvp,3,1,0.27148482109138844,8.103695074825845e-06,1325
bvp,3,2,0.23741805411104017,1.2153453457964026e-05,1325
bvp,3,3,0.20787149920868178,9.296128721760978e-06,1325
bvp,4,1,0.2435657321600221,3.773195728229826e-05,1325
bvp,4,2,0.18735867445305737,2.761394756942546e-05,1325
bvp,4,3,0.1596144112259252,6.368592959113642e-05,1325
bvp,5,1,0.20894931073988293,0.0006849370973891535,1325
bvp,5,2,0.13839679423691914,0.0002788902888417257,1325
bvp,5,3,0.11391288219026735,0.0002743959233440181,1325
bvp,6,1,0.5244187920348774,0.0485880875344992,1325
bvp,6,2,0.30173974369744905,0.011144878570999885,1325
bvp,6,3,0.23768753185074587,0.008615264342566677,1325
bvp,7,1,0.8684595517288727,0.2352910787696438,1325
bvp,7,2,0.7939956988365037,0.12037108720358382,1325
bvp,7,3,0.7479394923000241,0.0652744550027057,1325
resp,3,1,-0.011212753002238358,3.570673443744358e-05,1325
resp,3,2,-0.07032671299489658,0.0002138615788517601,1325
resp,3,3,0.058726508855729685,0.00011873725814719835,1325
resp,4,1,-0.03880613759966377,6.307730174345178e-05,1325
resp,4,2,-0.10037039234822337,0.0003904133657348335,1325
resp,4,3,-0.0058840501442608524,0.00015064859033415553,1325
resp,5,1,-0.025292239848325782,0.0005685335151031743,1325
resp,5,2,-0.08260135691766486,9.14573101454358e-05,1325
resp,5,3,-0.03991872336420186,5.064631730695405e-05,1325
resp,6,1,-0.017700955088343073,0.000421246132282626,1325
resp,6,2,-0.07213099580822692,0.00030367575139549725,1325
resp,6,3,-0.034680433049754565,0.0008154943888610896,1325
resp,7,1,-0.007887506635539204,0.0006664195887675163,1325
resp,7,2,-0.05677993456731528,0.0015868056503734675,1325
resp,7,3,-0.019262367998648753,0.001352458526699612,1325
spo2,3,1,-0.08879288576610213,0.0,1325
spo2,3,2,-0.07054315746758527,0.0,1325
spo2,3,3,-0.07630969329048641,0.0,1325
spo2,4,1,-0.05025411885311903,0.0,1325
spo2,4,2,-0.0613513106220486,0.0,1325
spo2,4,3,-0.0771152403667932,0.0,1325
spo2,5,1,-0.03671152409709376,0.0,1325
spo2,5,2,-0.06927367388908774,0.0,1325
spo2,5,3,-0.08857272714913482,0.0,1325
spo2,6,1,-0.05213479092306005,0.0,1325
spo2,6,2,-0.0877059571562215,0.0,1325
spo2,6,3,-0.10540270636162198,0.0,1325
spo2,7,1,-0.031240258054251038,0.0,1325
spo2,7,2,-0.08832429499729166,0.0,1325
spo2,7,3,-0.10973028263501124,0.0,1325
