model,subject_id,accuracy,balanced_accuracy,f1,n_samples
LightGBM,1,0.64,0.75,0.6393739130434782,25
LightGBM,10,0.92,0.9444444444444443,0.92,25
LightGBM,11,0.68,0.7777777777777778,0.6777622377622378,25
LightGBM,12,0.56,0.6944444444444445,0.5592347826086956,25
LightGBM,13,0.32,0.5277777777777778,0.31881739130434783,25
LightGBM,14,0.6,0.7222222222222222,0.5972027972027972,25
LightGBM,15,0.6,0.7222222222222223,0.6,25
LightGBM,16,0.52,0.6666666666666666,0.52,25
LightGBM,18,0.52,0.6666666666666666,0.52,25
LightGBM,19,0.6,0.7222222222222223,0.6,25
LightGBM,2,0.88,0.9166666666666666,0.879791304347826,25
LightGBM,21,0.76,0.8333333333333334,0.76,25
LightGBM,22,0.72,0.8055555555555555,0.719513043478261,25
LightGBM,24,0.52,0.6666666666666666,0.52,25
LightGBM,25,0.56,0.6944444444444445,0.553015873015873,25
LightGBM,27,0.4,0.5833333333333334,0.3989565217391305,25
LightGBM,28,0.64,0.75,0.6236660617059891,25
LightGBM,29,0.76,0.8333333333333334,0.7583216783216784,25
LightGBM,30,0.56,0.6944444444444445,0.553015873015873,25
LightGBM,34,0.68,0.7777777777777778,0.6777622377622378,25
LightGBM,35,0.68,0.7777777777777778,0.6777622377622378,25
LightGBM,36,0.56,0.6944444444444445,0.5592347826086956,25
LightGBM,37,0.6,0.7222222222222222,0.5885714285714286,25
LightGBM,38,0.6,0.7222222222222222,0.5972027972027972,25
LightGBM,39,0.84,0.8888888888888888,0.8388811188811189,25
LightGBM,4,0.6,0.7222222222222223,0.6,25
LightGBM,40,0.68,0.7777777777777778,0.6777622377622378,25
LightGBM,41,0.72,0.8055555555555555,0.719513043478261,25
LightGBM,42,0.76,0.8333333333333334,0.76,25
LightGBM,43,0.6,0.7222222222222223,0.6,25
LightGBM,44,0.76,0.8333333333333334,0.76,25
LightGBM,45,0.64,0.75,0.6393739130434782,25
LightGBM,46,0.64,0.75,0.6393739130434782,25
LightGBM,47,0.6,0.7222222222222223,0.6,25
LightGBM,48,0.92,0.9444444444444443,0.92,25
LightGBM,49,0.44,0.611111111111111,0.43608391608391606,25
LightGBM,5,0.64,0.75,0.6393739130434782,25
LightGBM,52,0.68,0.7777777777777777,0.68,25
LightGBM,53,0.8,0.8611111111111112,0.7996521739130436,25
LightGBM,55,0.56,0.6944444444444443,0.553015873015873,25
LightGBM,56,0.72,0.8055555555555555,0.719513043478261,25
LightGBM,57,0.48,0.6388888888888888,0.4717460317460317,25
LightGBM,58,0.6,0.7222222222222222,0.5885714285714286,25
LightGBM,59,0.8,0.8611111111111112,0.7996521739130436,25
LightGBM,6,0.52,0.6666666666666666,0.52,25
LightGBM,60,0.56,0.6944444444444445,0.5592347826086956,25
LightGBM,61,0.56,0.6944444444444443,0.553015873015873,25
LightGBM,62,0.64,0.75,0.6393739130434782,25
LightGBM,63,0.8,0.8611111111111112,0.7996521739130436,25
LightGBM,65,0.56,0.6944444444444443,0.553015873015873,25
LightGBM,7,0.84,0.888888888888889,0.84,25
LightGBM,8,0.64,0.75,0.6342857142857143,25
LightGBM,9,0.92,0.9444444444444445,0.9194405594405595,25
XGBoost,1,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,10,0.88,0.9166666666666666,0.879791304347826,25
XGBoost,11,0.72,0.8055555555555555,0.719513043478261,25
XGBoost,12,0.6,0.7222222222222223,0.6,25
XGBoost,13,0.32,0.5277777777777778,0.31881739130434783,25
XGBoost,14,0.6,0.7222222222222223,0.6,25
XGBoost,15,0.68,0.7777777777777777,0.68,25
XGBoost,16,0.56,0.6944444444444445,0.5592347826086956,25
XGBoost,18,0.52,0.6666666666666666,0.52,25
XGBoost,19,0.64,0.75,0.6393739130434782,25
XGBoost,2,0.88,0.9166666666666666,0.879791304347826,25
XGBoost,21,0.76,0.8333333333333334,0.76,25
XGBoost,22,0.72,0.8055555555555555,0.719513043478261,25
XGBoost,24,0.52,0.6666666666666666,0.52,25
XGBoost,25,0.64,0.75,0.6393739130434782,25
XGBoost,27,0.36,0.5555555555555555,0.36,25
XGBoost,28,0.68,0.7777777777777778,0.6777622377622378,25
XGBoost,29,0.72,0.8055555555555557,0.7155555555555556,25
XGBoost,30,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,34,0.72,0.8055555555555557,0.7155555555555556,25
XGBoost,35,0.72,0.8055555555555555,0.719513043478261,25
XGBoost,36,0.56,0.6944444444444445,0.5592347826086956,25
XGBoost,37,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,38,0.68,0.7777777777777778,0.6777622377622378,25
XGBoost,39,0.84,0.8888888888888888,0.8388811188811189,25
XGBoost,4,0.56,0.6944444444444445,0.5592347826086956,25
XGBoost,40,0.72,0.8055555555555555,0.719513043478261,25
XGBoost,41,0.76,0.8333333333333334,0.76,25
XGBoost,42,0.8,0.8611111111111112,0.7996521739130436,25
XGBoost,43,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,44,0.76,0.8333333333333334,0.76,25
XGBoost,45,0.64,0.75,0.6393739130434782,25
XGBoost,46,0.68,0.7777777777777778,0.6777622377622378,25
XGBoost,47,0.6,0.7222222222222223,0.6,25
XGBoost,48,0.92,0.9444444444444443,0.92,25
XGBoost,49,0.4,0.5833333333333334,0.3989565217391305,25
XGBoost,5,0.68,0.7777777777777778,0.6777622377622378,25
XGBoost,52,0.68,0.7777777777777777,0.68,25
XGBoost,53,0.84,0.8888888888888888,0.8388811188811189,25
XGBoost,55,0.56,0.6944444444444443,0.553015873015873,25
XGBoost,56,0.68,0.7777777777777777,0.68,25
XGBoost,57,0.56,0.6944444444444445,0.5592347826086956,25
XGBoost,58,0.64,0.75,0.6342857142857143,25
XGBoost,59,0.88,0.9166666666666666,0.8780952380952379,25
XGBoost,6,0.52,0.6666666666666666,0.52,25
XGBoost,60,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,61,0.44,0.6111111111111112,0.44,25
XGBoost,62,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,63,0.68,0.7777777777777777,0.68,25
XGBoost,65,0.6,0.7222222222222222,0.5972027972027972,25
XGBoost,7,0.84,0.888888888888889,0.84,25
XGBoost,8,0.68,0.7777777777777778,0.6777622377622378,25
XGBoost,9,0.92,0.9444444444444445,0.9194405594405595,25
RandomForest,1,0.68,0.7777777777777778,0.6777622377622378,25
RandomForest,10,0.88,0.9166666666666666,0.879791304347826,25
RandomForest,11,0.72,0.8055555555555555,0.719513043478261,25
RandomForest,12,0.6,0.7222222222222222,0.5972027972027972,25
RandomForest,13,0.36,0.5555555555555555,0.36,25
RandomForest,14,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,15,0.68,0.7777777777777777,0.68,25
RandomForest,16,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,18,0.48,0.638888888888889,0.47909565217391303,25
RandomForest,19,0.64,0.75,0.6393739130434782,25
RandomForest,2,0.88,0.9166666666666666,0.879791304347826,25
RandomForest,21,0.8,0.8611111111111112,0.7996521739130436,25
RandomForest,22,0.76,0.8333333333333334,0.76,25
RandomForest,24,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,25,0.68,0.7777777777777778,0.6777622377622378,25
RandomForest,27,0.44,0.6111111111111112,0.44,25
RandomForest,28,0.76,0.8333333333333334,0.7531428571428571,25
RandomForest,29,0.72,0.8055555555555557,0.7155555555555556,25
RandomForest,30,0.6,0.7222222222222222,0.5972027972027972,25
RandomForest,34,0.76,0.8333333333333334,0.7583216783216784,25
RandomForest,35,0.68,0.7777777777777778,0.6777622377622378,25
RandomForest,36,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,37,0.64,0.75,0.6393739130434782,25
RandomForest,38,0.68,0.7777777777777777,0.68,25
RandomForest,39,0.84,0.8888888888888888,0.8388811188811189,25
RandomForest,4,0.64,0.75,0.6393739130434782,25
RandomForest,40,0.68,0.7777777777777778,0.6777622377622378,25
RandomForest,41,0.76,0.8333333333333334,0.76,25
RandomForest,42,0.8,0.8611111111111112,0.7996521739130436,25
RandomForest,43,0.64,0.75,0.6393739130434782,25
RandomForest,44,0.64,0.75,0.6393739130434782,25
RandomForest,45,0.64,0.75,0.6393739130434782,25
RandomForest,46,0.68,0.7777777777777777,0.68,25
RandomForest,47,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,48,0.92,0.9444444444444443,0.92,25
RandomForest,49,0.4,0.5833333333333334,0.3989565217391305,25
RandomForest,5,0.6,0.7222222222222223,0.6,25
RandomForest,52,0.68,0.7777777777777777,0.68,25
RandomForest,53,0.84,0.888888888888889,0.84,25
RandomForest,55,0.56,0.6944444444444443,0.553015873015873,25
RandomForest,56,0.72,0.8055555555555555,0.719513043478261,25
RandomForest,57,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,58,0.6,0.7222222222222222,0.5972027972027972,25
RandomForest,59,0.92,0.9444444444444445,0.9194405594405595,25
RandomForest,6,0.52,0.6666666666666666,0.52,25
RandomForest,60,0.6,0.7222222222222222,0.5972027972027972,25
RandomForest,61,0.56,0.6944444444444445,0.5592347826086956,25
RandomForest,62,0.68,0.7777777777777778,0.6777622377622378,25
RandomForest,63,0.72,0.8055555555555555,0.719513043478261,25
RandomForest,65,0.64,0.75,0.6393739130434782,25
RandomForest,7,0.88,0.9166666666666666,0.879791304347826,25
RandomForest,8,0.64,0.75,0.6393739130434782,25
RandomForest,9,0.96,0.9722222222222222,0.9599304347826088,25
